epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,396.487,0.81258,0.60554,0.98401,0.87268,0.84804,0.89327,0.64581,0.98532,0.77066,1.02031,0.0011684,0.0011684,0.0011684
44,405.386,0.80572,0.58532,0.98677,0.90088,0.84649,0.8888,0.66331,0.92779,0.78037,1.01152,0.0011486,0.0011486,0.0011486
45,414.137,0.77598,0.56609,0.95335,0.90497,0.84023,0.90033,0.64732,0.96922,0.76378,1.02979,0.0011288,0.0011288,0.0011288
46,422.621,0.78901,0.5795,0.96867,0.87986,0.86157,0.90991,0.67061,0.93887,0.7623,1.03892,0.001109,0.001109,0.001109
47,432.154,0.76728,0.5676,0.97323,0.836,0.87255,0.89535,0.67556,0.92795,0.78214,1.04922,0.0010892,0.0010892,0.0010892
48,442,0.7392,0.53294,0.96034,0.81842,0.86167,0.90344,0.68117,0.88637,0.73427,1.01983,0.0010694,0.0010694,0.0010694
49,451.181,0.75808,0.5625,0.96197,0.84087,0.84804,0.88788,0.66858,0.88905,0.7336,0.99438,0.0010496,0.0010496,0.0010496
50,460.062,0.78324,0.5521,0.96419,0.87016,0.83824,0.91401,0.68374,0.90864,0.72356,1.02102,0.0010298,0.0010298,0.0010298
51,469.338,0.75163,0.55393,0.95602,0.85982,0.90204,0.91888,0.69487,0.86367,0.65871,0.98609,0.00101,0.00101,0.00101
52,478.462,0.74568,0.54505,0.96212,0.88907,0.86435,0.91157,0.69293,0.91895,0.70855,1.00382,0.0009902,0.0009902,0.0009902
53,487.206,0.72298,0.51132,0.94787,0.86712,0.89565,0.89674,0.67075,0.97731,0.70536,1.03181,0.0009704,0.0009704,0.0009704
54,495.897,0.75852,0.52115,0.95606,0.86344,0.91667,0.90184,0.67425,0.94871,0.70114,1.03144,0.0009506,0.0009506,0.0009506
55,504.794,0.74529,0.52731,0.94718,0.92138,0.84804,0.90853,0.67875,0.95099,0.73135,1.00035,0.0009308,0.0009308,0.0009308
56,513.55,0.73953,0.51599,0.94452,0.84974,0.85938,0.88324,0.6546,0.97154,0.80084,1.02253,0.000911,0.000911,0.000911
57,521.994,0.77605,0.52913,0.94931,0.85451,0.87255,0.88791,0.66217,0.97027,0.80668,1.04484,0.0008912,0.0008912,0.0008912
58,530.84,0.75451,0.51485,0.9649,0.85392,0.88235,0.90045,0.67388,0.96424,0.71311,1.04516,0.0008714,0.0008714,0.0008714
59,539.531,0.69239,0.49448,0.92039,0.8982,0.84804,0.91755,0.69949,0.86417,0.68273,0.98058,0.0008516,0.0008516,0.0008516
60,548.824,0.67897,0.46517,0.93162,0.8705,0.85672,0.89827,0.66757,1.00358,0.74551,1.04574,0.0008318,0.0008318,0.0008318
61,557.72,0.69517,0.46877,0.94101,0.85904,0.85784,0.89279,0.68483,0.89404,0.75407,1.00868,0.000812,0.000812,0.000812
62,566.303,0.71364,0.49695,0.95315,0.8608,0.84875,0.8803,0.68092,0.89916,0.75696,1.01712,0.0007922,0.0007922,0.0007922
63,575.402,0.66943,0.48071,0.92979,0.90708,0.84314,0.90541,0.69518,0.86551,0.72265,1.00883,0.0007724,0.0007724,0.0007724
64,584.306,0.67675,0.4657,0.92471,0.89241,0.84804,0.88543,0.67552,0.89921,0.7534,1.01802,0.0007526,0.0007526,0.0007526
65,592.831,0.6654,0.47571,0.92109,0.89697,0.86275,0.88899,0.69673,0.89556,0.72581,1.0077,0.0007328,0.0007328,0.0007328
66,601.627,0.69483,0.47087,0.94021,0.85018,0.88725,0.89301,0.68497,0.89534,0.6864,0.9979,0.000713,0.000713,0.000713
67,610.345,0.6709,0.46367,0.92715,0.90283,0.84804,0.88435,0.655,0.92376,0.68894,1.0127,0.0006932,0.0006932,0.0006932
68,619.324,0.68404,0.48107,0.93668,0.8866,0.87255,0.91479,0.71041,0.83148,0.63123,0.98253,0.0006734,0.0006734,0.0006734
69,628.432,0.65255,0.44827,0.92903,0.86551,0.88333,0.90771,0.70837,0.84698,0.67062,0.99281,0.0006536,0.0006536,0.0006536
70,636.991,0.65268,0.45864,0.91947,0.84919,0.91667,0.90093,0.70127,0.8421,0.69856,0.99055,0.0006338,0.0006338,0.0006338
71,645.987,0.66527,0.46496,0.94044,0.86343,0.88725,0.88952,0.68587,0.88473,0.70276,0.99295,0.000614,0.000614,0.000614
72,654.834,0.65987,0.46911,0.92731,0.9059,0.84946,0.88977,0.67311,0.90439,0.73184,1.02175,0.0005942,0.0005942,0.0005942
73,663.385,0.66323,0.47909,0.93345,0.88684,0.84519,0.89462,0.68545,0.89079,0.73232,1.00649,0.0005744,0.0005744,0.0005744
74,672.632,0.66395,0.4736,0.94399,0.86274,0.8627,0.89269,0.68912,0.88197,0.7115,0.99399,0.0005546,0.0005546,0.0005546
75,681.476,0.63121,0.4407,0.92374,0.87899,0.86765,0.88891,0.68423,0.8975,0.70505,1.01971,0.0005348,0.0005348,0.0005348
76,690.518,0.63591,0.43925,0.91355,0.8538,0.92647,0.90838,0.69366,0.88975,0.67007,1.02316,0.000515,0.000515,0.000515
77,699.487,0.60396,0.42308,0.90592,0.87158,0.90686,0.90946,0.70038,0.86302,0.6612,1.00359,0.0004952,0.0004952,0.0004952
78,708.029,0.61372,0.42199,0.90852,0.9013,0.88235,0.90272,0.68572,0.88586,0.66879,1.01112,0.0004754,0.0004754,0.0004754
79,716.797,0.61482,0.4232,0.89568,0.83182,0.92129,0.89869,0.68218,0.88918,0.68582,1.00929,0.0004556,0.0004556,0.0004556
80,725.426,0.59263,0.40646,0.90554,0.87014,0.88684,0.90118,0.68623,0.917,0.69529,1.02544,0.0004358,0.0004358,0.0004358
81,734.377,0.57252,0.40757,0.9052,0.8844,0.87255,0.90545,0.71007,0.87975,0.68456,1.01497,0.000416,0.000416,0.000416
82,743.189,0.61396,0.42377,0.90175,0.87185,0.90046,0.90573,0.70244,0.89262,0.66402,1.0245,0.0003962,0.0003962,0.0003962
83,751.659,0.58733,0.41151,0.90634,0.91682,0.86454,0.91804,0.70712,0.88651,0.65568,1.01394,0.0003764,0.0003764,0.0003764
84,760.385,0.60432,0.41945,0.91143,0.86827,0.91667,0.92337,0.72312,0.83795,0.61573,0.98283,0.0003566,0.0003566,0.0003566
85,769.503,0.57488,0.41139,0.90832,0.86855,0.90196,0.92324,0.71759,0.83695,0.60838,0.98221,0.0003368,0.0003368,0.0003368
86,778.342,0.57163,0.39358,0.89628,0.85303,0.91044,0.92678,0.71713,0.83578,0.61058,0.97876,0.000317,0.000317,0.000317
87,787.14,0.58132,0.40248,0.90276,0.87726,0.88725,0.92711,0.71562,0.8501,0.63529,0.9854,0.0002972,0.0002972,0.0002972
88,795.673,0.54939,0.39697,0.89817,0.88226,0.89706,0.92958,0.72491,0.84648,0.62083,0.97096,0.0002774,0.0002774,0.0002774
89,805.045,0.5507,0.37452,0.88203,0.90294,0.87255,0.92188,0.72253,0.85516,0.6391,0.96658,0.0002576,0.0002576,0.0002576
90,813.79,0.54141,0.37015,0.8799,0.89596,0.88652,0.92268,0.71883,0.84815,0.62873,0.95813,0.0002378,0.0002378,0.0002378
91,823.165,0.60637,0.4328,0.8905,0.89384,0.88725,0.91736,0.70782,0.87207,0.64559,0.98619,0.000218,0.000218,0.000218
92,832.338,0.61848,0.43602,0.89059,0.92219,0.87148,0.91766,0.69247,0.89583,0.63917,1.00213,0.0001982,0.0001982,0.0001982
93,841.195,0.60279,0.41429,0.89196,0.91615,0.87255,0.92202,0.70769,0.86987,0.62104,0.98997,0.0001784,0.0001784,0.0001784
94,849.797,0.58088,0.40913,0.88975,0.90602,0.89793,0.92363,0.71676,0.84685,0.60159,0.97797,0.0001586,0.0001586,0.0001586
95,858.527,0.5881,0.416,0.88247,0.91261,0.89706,0.92712,0.72031,0.84487,0.58523,0.98002,0.0001388,0.0001388,0.0001388
96,867.25,0.57035,0.41764,0.88134,0.90556,0.89305,0.92058,0.72165,0.85079,0.57804,0.98086,0.000119,0.000119,0.000119
97,876.146,0.5683,0.39406,0.87295,0.91386,0.88406,0.92569,0.72024,0.85698,0.57845,0.98557,9.92e-05,9.92e-05,9.92e-05
98,884.81,0.56497,0.38408,0.87848,0.91564,0.88725,0.92204,0.72011,0.85568,0.57927,0.98553,7.94e-05,7.94e-05,7.94e-05
99,893.219,0.55837,0.39779,0.87268,0.87484,0.92512,0.92163,0.72021,0.84248,0.57914,0.97768,5.96e-05,5.96e-05,5.96e-05
100,902.248,0.54989,0.38176,0.85954,0.8694,0.92157,0.92458,0.72629,0.84087,0.58627,0.97875,3.98e-05,3.98e-05,3.98e-05
